№ помещения;Адрес объекта;Кадастровый номер объекта;Вид помещения;Правообладатель (правообладатели);Долевая площадь, м²;Общая площадь, м²;Доля собственника;Вид собственности;Запись в ЕГРН, №;Дата регистрации права
1;г. Примерск, ул. Тестовая, д. 1, кв. 1;00:00:0000000:101;Квартира;Кузнецова Анна Николаевна;43,95;87,9;1/2;Общая долевая собственность;00:00:0000000:1002-00/000/2005-2;24.11.2005
;;;;Сидорова Галина Ивановна;43,95;;1/2;Общая долевая собственность;00:00:0000000:1003-00/000/2022-3;15.11.2022
2;г. Примерск, ул. Тестовая, д. 1, кв. 2;00:00:0000000:102;Квартира;Степанов Олег Николаевич;61;61;1;Собственность;00:00:0000000:1004-00/000/2006-4;18.11.2006
3;г. Примерск, ул. Тестовая, д. 1, кв. 3;00:00:0000000:103;Квартира;Михайлова Мария Андреевна;42,3;42,3;1;Собственность;00:00:0000000:1005-00/000/2023-5;12.02.2023
4;г. Примерск, ул. Тестовая, д. 1, кв. 4;00:00:0000000:104;Квартира;Семёнов Пётр Сергеевич;36,4;36,4;1;Собственность;00:00:0000000:1006-00/000/2011-6;21.01.2011
5;г. Примерск, ул. Тестовая, д. 1, кв. 5;00:00:0000000:105;Квартира;Павлова Анна Петровна;21,05;42,1;1/2;Общая долевая собственность;00:00:0000000:1007-00/000/2009-7;19.12.2009
;;;;Смирнов Алексей Петрович;21,05;;1/2;Общая долевая собственность;00:00:0000000:1008-00/000/2009-8;01.12.2009
6;г. Примерск, ул. Тестовая, д. 1, кв. 6;00:00:0000000:106;Квартира;Павлов Дмитрий Иванович;88,4;88,4;1;Собственность;00:00:0000000:1009-00/000/2004-9;11.11.2004
7;г. Примерск, ул. Тестовая, д. 1, кв. 7;00:00:0000000:107;Квартира;Кузнецова Ольга Николаевна;25,03;75,1;1/3;Общая долевая собственность;00:00:0000000:1010-00/000/2005-10;12.03.2005
;;;;Козлова Анна Петровна;25,03;;1/3;Общая долевая собственность;00:00:0000000:1011-00/000/2019-11;09.04.2019
;;;;Козлова Вера Петровна;25,04;;1/3;Общая долевая собственность;00:00:0000000:1012-00/000/2015-12;02.10.2015
